timestamp,measurements.etcd_etcd_request_duration_seconds_average
1698562800,0.002312911373130061
1698562815,0.002316922182703827
1698562830,0.0023216314674395088
1698562845,0.0023293304913434417
1698562860,0.002330461204635945
1698562875,0.0023484889350565774
1698562890,0.0023553693529017213
1698562905,0.0023500475834855716
1698562920,0.002351779544009023
1698562935,0.0023654128185171606
1698562950,0.002378004325119549
1698562965,0.002374841143520472
1698562980,0.0023704180732064288
1698562995,0.0023681743185857236
1698563010,0.0023693777859074075
1698563025,0.0023461963967787323
1698563040,0.0023374229792219596
1698563055,0.002365378470191423
1698563070,0.0023763230093297246
1698563085,0.0023643811611102207
1698563100,0.0023584029105001006
1698563115,0.002351167242765439
1698563130,0.002353508975938061
1698563145,0.002338897594530227
1698563160,0.002340795512972262
1698563175,0.0023540016816585405
1698563190,0.002357693755423384
1698563205,0.0023454041081434358
1698563220,0.002333870695120055
1698563235,0.002344385830727448
1698563250,0.0023587752853893793
1698563265,0.0023420619493184918
1698563280,0.0023342945259239526
1698563295,0.0023524862101314626
1698563310,0.002365460141211915
1698563325,0.002348221931905284
1698563340,0.002332621391262931
1698563355,0.0023313884194421115
1698563370,0.0023330445163706067
1698563385,0.0023356125971757532
1698563400,0.0023353973905367222
1698563415,0.0023566162630029785
1698563430,0.0023565574203249272
1698563445,0.002340424479476883
1698563460,0.0023331713302504574
1698563475,0.0023347287723041693
1698563490,0.002336052189827706
1698563505,0.002327545254131022
1698563520,0.0023168839869638544
1698563535,0.002331320471366188
1698563550,0.0023421573336280185
1698563565,0.0023314688234763203
1698563580,0.0023175750581246454
1698563595,0.0023070063947108798
1698563610,0.002299894574330571
1698563625,0.002296418560183471
1698563640,0.002293611619803514
1698563655,0.0022982613981083035
1698563670,0.002299202134343484
1698563685,0.0022745823904629214
1698563700,0.0022699344025071387
