timestamp,measurements.storage_count_attachable_volumes_in_use
1698562800,7.0
1698562815,7.0
1698562830,7.0
1698562845,7.0
1698562860,7.0
1698562875,7.0
1698562890,7.0
1698562905,7.0
1698562920,7.0
1698562935,7.0
1698562950,7.0
1698562965,7.0
1698562980,7.0
1698562995,7.0
1698563010,7.0
1698563025,7.0
1698563040,7.0
1698563055,7.0
1698563070,7.0
1698563085,7.0
1698563100,7.0
1698563115,7.0
1698563130,7.0
1698563145,7.0
1698563160,7.0
1698563175,7.0
1698563190,7.0
1698563205,7.0
1698563220,7.0
1698563235,7.0
1698563250,7.0
1698563265,7.0
1698563280,7.0
1698563295,7.0
1698563310,7.0
1698563325,7.0
1698563340,7.0
1698563355,7.0
1698563370,7.0
1698563385,7.0
1698563400,7.0
1698563415,7.0
1698563430,7.0
1698563445,7.0
1698563460,7.0
1698563475,7.0
1698563490,7.0
1698563505,7.0
1698563520,7.0
1698563535,7.0
1698563550,7.0
1698563565,7.0
1698563580,7.0
1698563595,7.0
1698563610,7.0
1698563625,7.0
1698563640,7.0
1698563655,7.0
1698563670,7.0
1698563685,7.0
1698563700,7.0
